Paquete,base,StableDif,bigquery,bipic,blablacar,crewai,django,eda_dataprep,flowise,hispasonic,jupyterbook,kaggle,perception_scraper,praisonai,report_generator,rstudio,sonus,sqlite,synth_data,tf_env,time_series
c-ares,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌
catalogue,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
category_encoders,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
celery,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
certifi,✅,❌,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,✅,❌,✅,❌
cffi,✅,❌,✅,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,✅,❌,✅,❌
cfitsio,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
chardet,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
charset-normalizer,✅,❌,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,✅,❌,✅,❌
click,❌,❌,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,❌,❌,❌,❌,❌,❌,❌,✅,❌
click-didyoumean,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
click-plugins,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
click-repl,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
cligj,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
cloudpathlib,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
cloudpickle,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
colorama,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌
comm,❌,❌,✅,✅,❌,❌,❌,✅,❌,❌,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
conda,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
conda-anaconda-telemetry,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
conda-anaconda-tos,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
conda-content-trust,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
conda-libmamba-solver,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
